,Se,Sf,S,Ce,Cf,explosion_mean,explosion_med,explosion_std,explosion_iqr,e,f,max_ell
no_bessel,0.6256452202796936,2.4797468185424805,2.1089264988899235,56.969876155073656,68.00198156250129,2528.6666666666665,2308.0,1399.122664345431,1747.5,0.001043283031322062,0.059763677418231964,3
no_rescaling,-0.30766597390174866,-0.05447113886475563,-0.10511010587215425,1.1492108902160951,2.677355131337305,392.0,392.0,0.0,0.0,0.04841502755880356,2.972684621810913,3
only_rescaling,0.2822131812572479,2.4525883197784424,2.0185132920742035,91.28706545526025,78.9369329423696,1944.7586206896551,1774.0,897.6759141238165,815.0,,,3
rescaling+bessel,0.5246524810791016,2.528015613555908,2.127342987060547,64.24598779556302,55.77587125613964,1863.3666666666666,1721.5,811.5264664489548,1300.75,0.0012294286862015724,0.06685669720172882,3
v1_l0,1.2533915042877197,1.5202380418777466,1.4668687343597413,30.49122545096052,70.17505091719299,251.0,251.0,0.0,0.0,0.0039477176032960415,0.2187901735305786,0
v1_l3,2.036266565322876,2.1703224182128906,2.143511247634888,12.80920703758607,49.84253144355029,1921.8333333333333,1769.5,844.5136973770593,1356.5,0.0022899159230291843,0.12326141446828842,3
v2-amsgrad,0.480399489402771,2.4832684993743896,2.082694697380066,68.06097153707387,73.148495291779,2705.8333333333335,2312.5,1505.3865601241093,2116.75,0.0008857900975272059,0.05501687154173851,3
v2-base,0.2822131812572479,2.4525883197784424,2.0185132920742035,91.28706545526025,78.9369329423696,2247.133333333333,1629.5,1366.5727262359492,1231.75,0.001022216398268938,0.0672321543097496,3
v2-ema,0.07527361810207367,2.4492225646972656,1.9744327753782274,105.46392940985255,76.9522955457711,2133.6,1851.0,896.8844003472282,1019.0,0.0013950179563835263,0.06834278255701065,3
v2-swa,0.5511817336082458,2.5581111907958984,2.156725299358368,61.575696610857804,64.90831117206075,2677.689655172414,2332.0,1302.6249351501285,1931.0,0.0011821746593341231,0.0688357800245285,3
v2_l0,0.9169638156890869,1.9312307834625244,1.728377389907837,45.05854886270673,72.607155266118,389.0,389.0,0.0,0.0,0.003428458236157894,0.18632307648658752,0
v2_l1,1.1489936113357544,2.7356936931610107,2.4183536767959595,31.201193807613215,41.93766607280814,889.0333333333333,866.0,104.10256326412392,100.75,0.0017539768014103174,0.0884346291422844,1
v2_l2,0.4158720076084137,2.467987537384033,2.057564431428909,74.93067935503174,71.79466755310766,3418.9,3005.0,1971.7318197375416,4187.25,0.0009755659848451614,0.06149159371852875,2
v2_l3,0.4748360514640808,2.4370901584625244,2.044639337062836,69.05244569796733,76.77335966137481,1721.7666666666667,1515.0,908.363541203909,823.0,0.000988408224657178,0.05863698199391365,3
v3_l3,0.6270862221717834,2.637712001800537,2.2355868458747867,56.99082869848236,58.75004367824863,2456.3333333333335,2079.0,1124.2953144183195,843.0,0.0013262535212561488,0.06314829736948013,3
