model,explosion_mean,explosion_med,explosion_std,explosion_iqr
no_bessel,2528.6666666666665,2308.0,1399.122664345431,1747.5
no_rescaling,392.0,392.0,0.0,0.0
only_rescaling,1944.7586206896551,1774.0,897.6759141238165,815.0
rescaling+bessel,1863.3666666666666,1721.5,811.5264664489548,1300.75
v1_l0,251.0,251.0,0.0,0.0
v1_l3,1921.8333333333333,1769.5,844.5136973770593,1356.5
v2-amsgrad,2705.8333333333335,2312.5,1505.3865601241093,2116.75
v2-base,2247.133333333333,1629.5,1366.5727262359492,1231.75
v2-ema,2133.6,1851.0,896.8844003472282,1019.0
v2-swa,2677.689655172414,2332.0,1302.6249351501285,1931.0
v2_l0,389.0,389.0,0.0,0.0
v2_l1,889.0333333333333,866.0,104.10256326412392,100.75
v2_l2,3418.9,3005.0,1971.7318197375416,4187.25
v2_l3,1721.7666666666667,1515.0,908.363541203909,823.0
v3_l3,2456.3333333333335,2079.0,1124.2953144183195,843.0
