,nsamples,label,dataset,test_300K_energy,test_600K_energy,test_1200K_energy,test_300K_forces,test_600K_forces,test_1200K_forces
0,5,v2-base,3BPA,0.6508957147598267,0.6520516276359558,0.6578961610794067,0.24958792328834534,0.32668083906173706,0.47470512986183167
1,25,v2-base,3BPA,0.003331621177494526,0.0036163199692964554,0.005896349903196096,0.06527631729841232,0.1023646742105484,0.20386359095573425
2,125,v2-base,3BPA,0.0007367865764535964,0.0009597957250662148,0.001937555382028222,0.023945597931742668,0.047793809324502945,0.12720437347888947
3,250,v2-base,3BPA,0.0002800571091938764,0.0006096145953051746,0.0018545204075053334,0.01732710748910904,0.03988613560795784,0.1219177171587944
4,500,v2-base,3BPA,0.00013384479098021984,0.0004462990036699921,0.001640616450458765,0.011973267421126366,0.030989423394203186,0.10720731317996979
5,5,v2-amsgrad,3BPA,0.4261886477470398,0.4282570481300354,0.4360801875591278,0.24191421270370483,0.3258442282676697,0.48431316018104553
6,25,v2-amsgrad,3BPA,0.0019192276522517204,0.0020126751624047756,0.004121690988540649,0.06427401304244995,0.10339124500751495,0.20787140727043152
7,125,v2-amsgrad,3BPA,0.00043227619607932866,0.0008337586186826229,0.0018679163185879588,0.0235956609249115,0.04660487920045853,0.11705038696527481
8,250,v2-amsgrad,3BPA,0.00019818519649561495,0.0005340761854313314,0.001591116189956665,0.01611674390733242,0.035527974367141724,0.0982065498828888
9,500,v2-amsgrad,3BPA,0.00013682992721442133,0.00040543341310694814,0.0014149985508993268,0.010552138090133667,0.026727231219410896,0.08725349605083466
10,5,v2-ema,3BPA,0.543919563293457,0.5464749336242676,0.5552881956100464,0.23583020269870758,0.3214021921157837,0.48537856340408325
11,25,v2-ema,3BPA,0.002150298561900854,0.002455971436575055,0.005019607488065958,0.06664049625396729,0.1043766513466835,0.2087700068950653
12,125,v2-ema,3BPA,0.0003323849232401699,0.0007669081096537411,0.0023356047458946705,0.024373428896069527,0.04955758526921272,0.13662704825401306
13,250,v2-ema,3BPA,0.00017979646509047598,0.0005648765945807099,0.0019367579370737076,0.01747334562242031,0.04022854566574097,0.12130388617515564
14,500,v2-ema,3BPA,0.0007311988156288862,0.0008042450062930584,0.0020847124978899956,0.011982542462646961,0.031045278534293175,0.10912533104419708
15,5,v2-ema,3BPA,0.004505466669797897,0.006396878976374865,0.01671992428600788,0.24876758456230164,0.34102171659469604,0.528123140335083
16,25,v2-swa,3BPA,0.0015132635599002242,0.0018148813396692276,0.0056072683073580265,0.07146073132753372,0.11611087620258331,0.24346983432769775
17,125,v2-swa,3BPA,0.00032194668892771006,0.000778184097725898,0.0021870534401386976,0.026244433596730232,0.050189536064863205,0.1284407377243042
18,250,v2-swa,3BPA,0.00020101439440622926,0.0005763867520727217,0.0021183271892368793,0.018283646553754807,0.041330285370349884,0.1258205622434616
19,500,v2-swa,3BPA,0.0001847800158429891,0.0004770286614075303,0.00190546247176826,0.01222316361963749,0.031481459736824036,0.10983864963054657
20,5,v3_l3,3BPA,0.00454684067517519,0.005903931800276041,0.013460847549140453,0.20968016982078552,0.290762335062027,0.4537753760814667
21,25,v3_l3,3BPA,0.001159862382337451,0.0018331388710066676,0.006083565764129162,0.06599900871515274,0.10866622626781464,0.2265099287033081
22,125,v3_l3,3BPA,0.0002733946603257209,0.0008002649992704391,0.0030837056692689657,0.023460814729332924,0.048863522708415985,0.13785403966903687
23,250,v3_l3,3BPA,0.00017065036809071898,0.0005585766630247235,0.0025517551694065332,0.015756862238049507,0.03693452849984169,0.11549896001815796
24,500,v3_l3,3BPA,0.00012521147436928004,0.00045379833318293095,0.0021613584831357002,0.010567570105195045,0.0279865562915802,0.10106940567493439
25,5,v2_l3,3BPA,0.004651474766433239,0.00645822798833251,0.015164824202656746,0.23578499257564545,0.32325851917266846,0.49707144498825073
26,25,v2_l3,3BPA,0.0014429561560973525,0.0018252942245453596,0.004560528788715601,0.066594198346138,0.10684241354465485,0.2183297872543335
27,125,v2_l3,3BPA,0.000267372524831444,0.0007659612456336617,0.0021670840214937925,0.024426089599728584,0.04848361387848854,0.12571220099925995
28,250,v2_l3,3BPA,0.0001819130702642724,0.0005528166075237095,0.0019466136582195759,0.016866108402609825,0.03753984719514847,0.10714470595121384
29,500,v2_l3,3BPA,0.00012267223792150617,0.00040726011502556503,0.0015931748785078526,0.011015007272362709,0.027640732005238533,0.09327090531587601
30,5,v1_l3,3BPA,0.005203286651521921,0.007861655205488205,0.015593355521559715,0.24801139533519745,0.33996546268463135,0.518908679485321
31,25,v1_l3,3BPA,0.001878294046036899,0.0037325771991163492,0.008003032766282558,0.12660299241542816,0.18816503882408142,0.33010512590408325
32,125,v1_l3,3BPA,0.0007414116989821196,0.0019017300801351666,0.0046864659525454044,0.05542317032814026,0.1029290035367012,0.21603436768054962
33,250,v1_l3,3BPA,0.0005677806911990047,0.0013994015753269196,0.004086076281964779,0.04285398870706558,0.08527949452400208,0.2008492797613144
34,500,v1_l3,3BPA,0.0004543026734609157,0.0012100375024601817,0.0035988695453852415,0.034585412591695786,0.07368304580450058,0.18940599262714386
35,5,v2_l3,3BPA,0.00456237094476819,0.006622455082833767,0.01565837860107422,0.23866407573223114,0.32684123516082764,0.5015811324119568
36,25,v2_l3,3BPA,0.0014538152609020472,0.0018353413324803114,0.00447065569460392,0.06624508649110794,0.10611159354448318,0.2160358726978302
37,125,v2_l3,3BPA,0.00027148984372615814,0.0007576529169455171,0.002153408946469426,0.024317966774106026,0.048240918666124344,0.1255112588405609
38,250,v2_l3,3BPA,0.0001822624180931598,0.0005500026745721698,0.001856301911175251,0.016563722863793373,0.036981333047151566,0.10532587766647339
39,500,v2_l3,3BPA,0.00012356057413853705,0.00041873150621540844,0.0015725278062745929,0.011013587936758995,0.027757413685321808,0.09339385479688644
40,5,v2_l2,3BPA,0.004543221555650234,0.007413862738758326,0.014772959984838963,0.2104257196187973,0.2869080603122711,0.42967379093170166
41,25,v2_l2,3BPA,0.0013381843455135822,0.0020619635470211506,0.0046875434927642345,0.07033229619264603,0.11518606543540955,0.2186409831047058
42,125,v2_l2,3BPA,0.0003047512727789581,0.0007963285897858441,0.002068696776404977,0.02700343169271946,0.05335915833711624,0.127876415848732
43,250,v2_l2,3BPA,0.00020074773055966944,0.0006477200076915324,0.0018876526737585664,0.01832730323076248,0.041774164885282516,0.11567359417676926
44,500,v2_l2,3BPA,0.00013763504102826118,0.0004741416487377137,0.0015511716483160853,0.01247869897633791,0.031122546643018723,0.09706378728151321
45,5,v2_l1,3BPA,0.009046625345945358,0.009815181605517864,0.019963590428233147,0.3007832467556,0.4094272553920746,0.6261096596717834
46,25,v2_l1,3BPA,0.0030169966630637646,0.004098205361515284,0.01103594247251749,0.12559986114501953,0.18871308863162994,0.3461557924747467
47,125,v2_l1,3BPA,0.000572388933505863,0.0015315430937334895,0.005009218584746122,0.04273279383778572,0.08475326001644135,0.19648617506027222
48,250,v2_l1,3BPA,0.0003614595625549555,0.0010800190502777696,0.0038525841664522886,0.02895205095410347,0.06339608877897263,0.16384176909923553
49,500,v2_l1,3BPA,0.00022526297834701836,0.000742102216463536,0.002821671776473522,0.0194245558232069,0.04687952250242233,0.13874037563800812
50,5,v2_l0,3BPA,0.016272973269224167,0.016798486933112144,0.02553401328623295,0.3977442979812622,0.5415024757385254,0.750465989112854
51,25,v2_l0,3BPA,0.004745872225612402,0.011119759641587734,0.01423327811062336,0.19449451565742493,0.3112628757953644,0.4916205406188965
52,125,v2_l0,3BPA,0.0013342187739908695,0.004461971111595631,0.008988745510578156,0.09062478691339493,0.17960035800933838,0.3538401424884796
53,250,v2_l0,3BPA,0.0008016123902052641,0.0023080063983798027,0.0063006943091750145,0.061397723853588104,0.13011498749256134,0.32060956954956055
54,500,v2_l0,3BPA,0.0005803510430268943,0.0020307227969169617,0.0053188372403383255,0.04754587635397911,0.1084287241101265,0.2880786061286926
