,model,x,f,e
0,no_rescaling,-0.25,25.895782,177.65067
1,no_rescaling,-0.24375,23.747707,173.742
2,no_rescaling,-0.2375,21.871078,169.62262
3,no_rescaling,-0.23125,20.210941,165.34137
4,no_rescaling,-0.225,18.72543,160.93723
5,no_rescaling,-0.21875,17.379232,156.44022
6,no_rescaling,-0.2125,16.140232,151.87366
7,no_rescaling,-0.20625,14.980001,147.25629
8,no_rescaling,-0.2,13.8774185,142.60431
9,no_rescaling,-0.19375,12.821232,137.93213
10,no_rescaling,-0.1875,11.80839,133.25229
11,no_rescaling,-0.18125,10.839686,128.57498
12,no_rescaling,-0.175,9.916338,123.908005
13,no_rescaling,-0.16875,9.038809,119.256836
14,no_rescaling,-0.16249999999999998,8.207013,114.62517
15,no_rescaling,-0.15625,7.4206924,110.01538
16,no_rescaling,-0.15,6.6795263,105.42891
17,no_rescaling,-0.14375,5.9830937,100.86641
18,no_rescaling,-0.1375,5.3309584,96.32801
19,no_rescaling,-0.13124999999999998,4.722805,91.81334
20,no_rescaling,-0.125,4.1584406,87.32168
21,no_rescaling,-0.11875,3.6376262,82.85204
22,no_rescaling,-0.11249999999999999,3.1598635,78.40326
23,no_rescaling,-0.10624999999999998,2.724283,73.97398
24,no_rescaling,-0.09999999999999998,2.329636,69.56271
25,no_rescaling,-0.09375,1.9743602,65.16783
26,no_rescaling,-0.0875,1.6566787,60.78764
27,no_rescaling,-0.08124999999999999,1.3746942,56.420387
28,no_rescaling,-0.07499999999999998,1.1264603,52.064262
29,no_rescaling,-0.06874999999999998,0.91005427,47.717484
30,no_rescaling,-0.0625,0.7236468,43.37822
31,no_rescaling,-0.056249999999999994,0.56559074,39.04467
32,no_rescaling,-0.04999999999999999,0.43452656,34.715034
33,no_rescaling,-0.04374999999999998,0.32945955,30.387482
34,no_rescaling,-0.03749999999999998,0.24965933,26.0602
35,no_rescaling,-0.03125,0.19400163,21.731377
36,no_rescaling,-0.024999999999999994,0.15945251,17.399189
37,no_rescaling,-0.01874999999999999,0.13971224,13.061804
38,no_rescaling,-0.012499999999999983,0.12647334,8.717431
39,no_rescaling,-0.006249999999999978,0.112894885,4.364313
40,no_rescaling,0.0,0.09564943,0.0012306636
41,no_rescaling,0.006250000000000033,0.07546325,4.374897
42,no_rescaling,0.012500000000000011,0.059807338,8.764055
43,no_rescaling,0.01874999999999999,0.0655935,13.168015
44,no_rescaling,0.025000000000000022,0.09698208,17.587769
45,no_rescaling,0.03125,0.14302856,22.024088
46,no_rescaling,0.03750000000000003,0.19907624,26.477425
47,no_rescaling,0.04375000000000001,0.26733863,30.947954
48,no_rescaling,0.050000000000000044,0.3554601,35.435623
49,no_rescaling,0.05625000000000002,0.47541064,39.940166
50,no_rescaling,0.0625,0.64108294,44.461212
51,no_rescaling,0.06875000000000003,0.8657383,48.998375
52,no_rescaling,0.07500000000000001,1.1614912,53.551193
53,no_rescaling,0.08125000000000004,1.5389194,58.119156
54,no_rescaling,0.08750000000000002,2.0001202,62.70179
55,no_rescaling,0.09375,2.532557,67.29908
