,name,explosion,model,num
0,2layer_yes_rescaling_no_amsgrad_no_ema-01,2801,"2-layer, baseline",1
1,2layer_yes_rescaling_no_amsgrad_no_ema-02,2801,"2-layer, baseline",2
2,2layer_yes_rescaling_no_amsgrad_no_ema-03,2263,"2-layer, baseline",3
3,2layer_yes_rescaling_no_amsgrad_no_ema-04,2382,"2-layer, baseline",4
4,2layer_yes_rescaling_no_amsgrad_no_ema-05,3238,"2-layer, baseline",5
5,2layer_yes_rescaling_no_amsgrad_no_ema-06,2785,"2-layer, baseline",6
6,2layer_yes_rescaling_no_amsgrad_no_ema-07,1292,"2-layer, baseline",7
7,2layer_yes_rescaling_no_amsgrad_no_ema-08,1794,"2-layer, baseline",8
8,2layer_yes_rescaling_no_amsgrad_no_ema-09,1198,"2-layer, baseline",9
9,2layer_yes_rescaling_no_amsgrad_no_ema-10,1441,"2-layer, baseline",10
10,2layer_yes_rescaling_no_amsgrad_no_ema-11,1200,"2-layer, baseline",11
11,2layer_yes_rescaling_no_amsgrad_no_ema-12,2409,"2-layer, baseline",12
12,2layer_yes_rescaling_no_amsgrad_no_ema-13,1397,"2-layer, baseline",13
13,2layer_yes_rescaling_no_amsgrad_no_ema-14,2065,"2-layer, baseline",14
14,2layer_yes_rescaling_no_amsgrad_no_ema-15,1529,"2-layer, baseline",15
15,2layer_yes_rescaling_no_amsgrad_no_ema-16,1198,"2-layer, baseline",16
16,2layer_yes_rescaling_no_amsgrad_no_ema-17,1865,"2-layer, baseline",17
17,2layer_yes_rescaling_no_amsgrad_no_ema-18,3696,"2-layer, baseline",18
18,2layer_yes_rescaling_no_amsgrad_no_ema-19,1735,"2-layer, baseline",19
19,2layer_yes_rescaling_no_amsgrad_no_ema-20,2440,"2-layer, baseline",20
20,2layer_yes_rescaling_no_amsgrad_no_ema-21,1798,"2-layer, baseline",21
21,2layer_yes_rescaling_no_amsgrad_no_ema-22,2222,"2-layer, baseline",22
22,2layer_yes_rescaling_no_amsgrad_no_ema-23,1628,"2-layer, baseline",23
23,2layer_yes_rescaling_no_amsgrad_no_ema-24,1807,"2-layer, baseline",24
24,2layer_yes_rescaling_no_amsgrad_no_ema-25,2739,"2-layer, baseline",25
25,2layer_yes_rescaling_no_amsgrad_no_ema-26,1536,"2-layer, baseline",26
26,2layer_yes_rescaling_no_amsgrad_no_ema-27,1299,"2-layer, baseline",27
27,2layer_yes_rescaling_no_amsgrad_no_ema-28,1385,"2-layer, baseline",28
28,2layer_yes_rescaling_no_amsgrad_no_ema-29,3944,"2-layer, baseline",29
29,2layer_yes_rescaling_no_amsgrad_no_ema-30,1197,"2-layer, baseline",30
30,2layer_yes_rescaling_no_amsgrad_yes_ema-01,1521,"2-layer, EMA-only",1
31,2layer_yes_rescaling_no_amsgrad_yes_ema-02,1497,"2-layer, EMA-only",2
32,2layer_yes_rescaling_no_amsgrad_yes_ema-03,1047,"2-layer, EMA-only",3
33,2layer_yes_rescaling_no_amsgrad_yes_ema-04,1227,"2-layer, EMA-only",4
34,2layer_yes_rescaling_no_amsgrad_yes_ema-05,1572,"2-layer, EMA-only",5
35,2layer_yes_rescaling_no_amsgrad_yes_ema-06,2127,"2-layer, EMA-only",6
36,2layer_yes_rescaling_no_amsgrad_yes_ema-07,1041,"2-layer, EMA-only",7
37,2layer_yes_rescaling_no_amsgrad_yes_ema-08,1041,"2-layer, EMA-only",8
38,2layer_yes_rescaling_no_amsgrad_yes_ema-09,2124,"2-layer, EMA-only",9
39,2layer_yes_rescaling_no_amsgrad_yes_ema-10,2680,"2-layer, EMA-only",10
40,2layer_yes_rescaling_no_amsgrad_yes_ema-11,1385,"2-layer, EMA-only",11
