,model,n,e,f
0,baseline,5,0.7756742238998413,21.785539627075195
1,baseline,25,0.006515257526189089,0.21051909029483795
2,baseline,125,0.003608094761148095,0.1584818810224533
3,baseline,250,0.002635421697050333,0.12339656800031662
4,baseline,500,0.005794256925582886,0.12035886943340302
5,rescaling,5,0.010705485939979553,0.4038904011249542
6,rescaling,25,0.004280660301446915,0.17893950641155243
7,rescaling,125,0.0023949395399540663,0.11786753684282303
8,rescaling,250,0.0020110064651817083,0.1028519943356514
9,rescaling,500,0.0016016350127756596,0.0908183753490448
10,non_trainable_bessel,5,0.5281472206115723,0.45045942068099976
11,non_trainable_bessel,25,0.008607828989624977,0.17417021095752716
12,non_trainable_bessel,125,0.003923334181308746,0.11836845427751541
13,non_trainable_bessel,250,0.01080822478979826,0.1017153337597847
14,non_trainable_bessel,500,0.002010144991800189,0.09009964764118195
15,"5-layer, baseline",5,0.014307662844657898,0.4192044138908386
16,"5-layer, baseline",25,0.004128022585064173,0.16805711388587952
17,"5-layer, baseline",125,0.0031496048904955387,0.08616036921739578
18,"5-layer, baseline",250,0.003760692896321416,0.07747165113687515
19,"5-layer, baseline",500,0.0028861628379672766,0.0632205531001091
20,"5-layer, AMSGrad-only",5,0.014692171476781368,0.4205869734287262
21,"5-layer, AMSGrad-only",25,0.00450053671374917,0.17114423215389252
22,"5-layer, AMSGrad-only",125,0.0014438540674746037,0.0812736451625824
23,"5-layer, AMSGrad-only",250,0.0021039971616119146,0.06740251183509827
24,"5-layer, AMSGrad-only",500,0.0025788366328924894,0.05327654257416725
25,"5-layer, EMA-only",5,0.014789371751248837,0.42357417941093445
26,"5-layer, EMA-only",25,0.00401899591088295,0.1675512045621872
27,"5-layer, EMA-only",125,0.0019739996641874313,0.08787985891103745
28,"5-layer, EMA-only",250,0.002007155679166317,0.07912177592515945
29,"5-layer, EMA-only",500,0.002301498083397746,0.0655670166015625
30,2-layer,5,0.5281472206115723,0.45045942068099976
31,2-layer,25,0.008607828989624977,0.17417021095752716
32,2-layer,125,0.003923334181308746,0.11836845427751541
33,2-layer,250,0.01080822478979826,0.1017153337597847
34,2-layer,500,0.002010144991800189,0.09009964764118195
35,3-layer,5,0.6664395928382874,0.43434005975723267
36,3-layer,25,0.03562340512871742,0.17462393641471863
37,3-layer,125,0.0016473494470119476,0.08860160410404205
38,3-layer,250,0.0012753147166222334,0.07365002483129501
39,3-layer,500,0.0020602697040885687,0.059912439435720444
40,4-layer,5,0.7473208904266357,0.4213496446609497
41,4-layer,25,0.004379856400191784,0.18468017876148224
42,4-layer,125,0.0016248170286417007,0.08642302453517914
43,4-layer,250,0.0014808126725256443,0.06721917539834976
44,4-layer,500,0.0010559908114373684,0.0566583015024662
45,5-layer,5,0.7542958855628967,0.4274540841579437
46,5-layer,25,0.004168388433754444,0.16894041001796722
47,5-layer,125,0.0014282907359302044,0.08142349869012833
48,5-layer,250,0.0013449485413730145,0.0679994598031044
49,5-layer,500,0.0030381239484995604,0.05419006198644638
50,"2-layer, baseline",5,0.010596335865557194,0.40310704708099365
51,"2-layer, baseline",25,0.0042452276684343815,0.17787981033325195
52,"2-layer, baseline",125,0.0025374393444508314,0.12305057048797607
53,"2-layer, baseline",250,0.00253490312024951,0.10685271769762039
54,"2-layer, baseline",500,0.0026042629033327103,0.09459365904331207
55,"2-layer, AMSGrad-only",5,0.010800658725202084,0.4037729501724243
56,"2-layer, AMSGrad-only",25,0.004309913143515587,0.17762504518032074
57,"2-layer, AMSGrad-only",125,0.0023951311595737934,0.117942214012146
58,"2-layer, AMSGrad-only",250,0.0019003043416887522,0.10240794718265533
59,"2-layer, AMSGrad-only",500,0.0016126843402162194,0.08672334253787994
60,"2-layer, EMA-only",5,0.010779955424368382,0.40493205189704895
61,"2-layer, EMA-only",25,0.004358931910246611,0.18022401630878448
62,"2-layer, EMA-only",125,0.002567487535998225,0.12286829203367233
63,"2-layer, EMA-only",250,0.0021191309206187725,0.11058272421360016
64,"2-layer, EMA-only",500,0.004478370770812035,0.09759802371263504
