,model,x,f,e
0,2-layer,-0.25,0.73223555,0.32741886
1,2-layer,-0.24375,0.7012466,0.3186643
2,2-layer,-0.2375,0.6714475,0.30982554
3,2-layer,-0.23125,0.64275086,0.30092332
4,2-layer,-0.225,0.6150819,0.2919606
5,2-layer,-0.21875,0.5883762,0.28294975
6,2-layer,-0.2125,0.5625771,0.27390122
7,2-layer,-0.20625,0.53763443,0.26483297
8,2-layer,-0.2,0.5135033,0.25574204
9,2-layer,-0.19375,0.49014303,0.24665178
10,2-layer,-0.1875,0.46751612,0.23756543
11,2-layer,-0.18125,0.445588,0.22848973
12,2-layer,-0.175,0.42432606,0.21944343
13,2-layer,-0.16875,0.4037,0.21042085
14,2-layer,-0.16249999999999998,0.3836806,0.20144196
15,2-layer,-0.15625,0.36424035,0.19250876
16,2-layer,-0.15,0.3453526,0.18363273
17,2-layer,-0.14375,0.32699177,0.17481267
18,2-layer,-0.1375,0.30913317,0.16606751
19,2-layer,-0.13124999999999998,0.2917531,0.15739375
20,2-layer,-0.125,0.2748283,0.14880162
21,2-layer,-0.11875,0.2583364,0.14029408
22,2-layer,-0.11249999999999999,0.24225551,0.13188316
23,2-layer,-0.10624999999999998,0.22656462,0.12356146
24,2-layer,-0.09999999999999998,0.21124312,0.11534374
25,2-layer,-0.09375,0.19627091,0.107234836
26,2-layer,-0.0875,0.18162867,0.09923436
27,2-layer,-0.08124999999999999,0.16729733,0.09134528
28,2-layer,-0.07499999999999998,0.1532587,0.08358012
29,2-layer,-0.06874999999999998,0.13949488,0.07593354
30,2-layer,-0.0625,0.12598899,0.068412304
31,2-layer,-0.056249999999999994,0.112724744,0.061020777
32,2-layer,-0.04999999999999999,0.09968726,0.053761095
33,2-layer,-0.04374999999999998,0.086863734,0.046638705
34,2-layer,-0.03749999999999998,0.074244745,0.03965357
35,2-layer,-0.03125,0.061827958,0.03280929
36,2-layer,-0.024999999999999994,0.049626462,0.026113015
37,2-layer,-0.01874999999999999,0.03769274,0.0195631
38,2-layer,-0.012499999999999983,0.026205648,0.013165863
39,2-layer,-0.006249999999999978,0.015903085,0.0069237687
40,2-layer,0.0,0.010648806,0.00087971357
41,2-layer,0.006250000000000033,0.016262146,0.0051125186
42,2-layer,0.012500000000000011,0.02653968,0.0108768605
