,name,explosion,model,num
0,baseline-01,392,no_rescaling,1
1,baseline-02,392,no_rescaling,2
2,baseline-03,392,no_rescaling,3
3,baseline-04,392,no_rescaling,4
4,baseline-05,392,no_rescaling,5
5,baseline-06,392,no_rescaling,6
6,baseline-07,392,no_rescaling,7
7,baseline-08,392,no_rescaling,8
8,baseline-09,392,no_rescaling,9
9,baseline-10,392,no_rescaling,10
10,baseline-11,392,no_rescaling,11
11,baseline-12,392,no_rescaling,12
12,baseline-13,392,no_rescaling,13
13,baseline-14,392,no_rescaling,14
14,baseline-15,392,no_rescaling,15
15,baseline-16,392,no_rescaling,16
16,baseline-17,392,no_rescaling,17
17,baseline-18,392,no_rescaling,18
18,baseline-19,392,no_rescaling,19
19,baseline-20,392,no_rescaling,20
20,baseline-21,392,no_rescaling,21
21,baseline-22,392,no_rescaling,22
22,baseline-23,392,no_rescaling,23
23,baseline-24,392,no_rescaling,24
24,baseline-25,392,no_rescaling,25
25,baseline-26,392,no_rescaling,26
26,baseline-27,392,no_rescaling,27
27,baseline-28,392,no_rescaling,28
28,baseline-29,392,no_rescaling,29
29,baseline-30,392,no_rescaling,30
30,non_trainable_bessel-01,2008,no_bessel,1
31,non_trainable_bessel-02,2405,no_bessel,2
32,non_trainable_bessel-03,3064,no_bessel,3
33,non_trainable_bessel-04,938,no_bessel,4
34,non_trainable_bessel-05,4440,no_bessel,5
35,non_trainable_bessel-06,978,no_bessel,6
36,non_trainable_bessel-07,3098,no_bessel,7
37,non_trainable_bessel-08,3287,no_bessel,8
38,non_trainable_bessel-09,995,no_bessel,9
39,non_trainable_bessel-10,3967,no_bessel,10
40,non_trainable_bessel-11,2282,no_bessel,11
41,non_trainable_bessel-12,2262,no_bessel,12
42,non_trainable_bessel-13,2088,no_bessel,13
43,non_trainable_bessel-14,6001,no_bessel,14
44,non_trainable_bessel-15,2474,no_bessel,15
45,non_trainable_bessel-16,1264,no_bessel,16
46,non_trainable_bessel-17,4121,no_bessel,17
47,non_trainable_bessel-18,2334,no_bessel,18
48,non_trainable_bessel-19,1167,no_bessel,19
49,non_trainable_bessel-20,1866,no_bessel,20
50,non_trainable_bessel-21,3422,no_bessel,21
51,non_trainable_bessel-22,2513,no_bessel,22
52,non_trainable_bessel-23,1766,no_bessel,23
53,non_trainable_bessel-24,1079,no_bessel,24
54,non_trainable_bessel-25,1,no_bessel,25
55,non_trainable_bessel-26,3978,no_bessel,26
56,non_trainable_bessel-27,3058,no_bessel,27
57,non_trainable_bessel-28,5628,no_bessel,28
58,non_trainable_bessel-29,1975,no_bessel,29
59,non_trainable_bessel-30,1401,no_bessel,30
60,non_trainable_bessel-01,1815,only_rescaling,1
61,non_trainable_bessel-02,1807,only_rescaling,2
62,non_trainable_bessel-03,1554,only_rescaling,3
63,non_trainable_bessel-04,1545,only_rescaling,4
64,non_trainable_bessel-05,2701,only_rescaling,5
65,non_trainable_bessel-07,1508,only_rescaling,7
66,non_trainable_bessel-08,1303,only_rescaling,8
67,non_trainable_bessel-09,1678,only_rescaling,9
68,non_trainable_bessel-10,2234,only_rescaling,10
69,non_trainable_bessel-11,1307,only_rescaling,11
70,non_trainable_bessel-12,1184,only_rescaling,12
71,non_trainable_bessel-13,1243,only_rescaling,13
72,non_trainable_bessel-14,946,only_rescaling,14
73,non_trainable_bessel-15,1194,only_rescaling,15
74,non_trainable_bessel-16,5533,only_rescaling,16
75,non_trainable_bessel-17,1774,only_rescaling,17
76,non_trainable_bessel-18,1961,only_rescaling,18
77,non_trainable_bessel-19,2360,only_rescaling,19
78,non_trainable_bessel-20,2283,only_rescaling,20
79,non_trainable_bessel-21,2920,only_rescaling,21
80,non_trainable_bessel-22,1476,only_rescaling,22
81,non_trainable_bessel-23,3561,only_rescaling,23
82,non_trainable_bessel-24,1298,only_rescaling,24
83,non_trainable_bessel-25,1980,only_rescaling,25
84,non_trainable_bessel-26,2259,only_rescaling,26
85,non_trainable_bessel-27,1419,only_rescaling,27
86,non_trainable_bessel-28,1678,only_rescaling,28
87,non_trainable_bessel-29,1886,only_rescaling,29
88,non_trainable_bessel-30,1991,only_rescaling,30
89,rescaling-01,1715,rescaling+bessel,1
90,rescaling-02,3632,rescaling+bessel,2
91,rescaling-03,1074,rescaling+bessel,3
92,rescaling-04,1434,rescaling+bessel,4
93,rescaling-05,3743,rescaling+bessel,5
94,rescaling-06,1126,rescaling+bessel,6
95,rescaling-07,2443,rescaling+bessel,7
96,rescaling-08,1948,rescaling+bessel,8
97,rescaling-09,2714,rescaling+bessel,9
98,rescaling-10,1267,rescaling+bessel,10
99,rescaling-11,1136,rescaling+bessel,11
100,rescaling-12,966,rescaling+bessel,12
101,rescaling-13,1139,rescaling+bessel,13
102,rescaling-14,1143,rescaling+bessel,14
103,rescaling-15,1101,rescaling+bessel,15
104,rescaling-16,1728,rescaling+bessel,16
105,rescaling-17,1949,rescaling+bessel,17
106,rescaling-18,2102,rescaling+bessel,18
107,rescaling-19,977,rescaling+bessel,19
108,rescaling-20,2195,rescaling+bessel,20
109,rescaling-21,2586,rescaling+bessel,21
110,rescaling-22,1211,rescaling+bessel,22
111,rescaling-23,1105,rescaling+bessel,23
112,rescaling-24,2592,rescaling+bessel,24
113,rescaling-25,2434,rescaling+bessel,25
114,rescaling-26,1973,rescaling+bessel,26
115,rescaling-27,1406,rescaling+bessel,27
116,rescaling-28,1206,rescaling+bessel,28
117,rescaling-29,2478,rescaling+bessel,29
118,rescaling-30,3378,rescaling+bessel,30
119,v1_l0-01,251,v1_l0,1
120,v1_l0-02,251,v1_l0,2
121,v1_l0-03,251,v1_l0,3
122,v1_l0-04,251,v1_l0,4
123,v1_l0-05,251,v1_l0,5
124,v1_l0-06,251,v1_l0,6
125,v1_l0-07,251,v1_l0,7
126,v1_l0-08,251,v1_l0,8
127,v1_l0-09,251,v1_l0,9
128,v1_l0-10,251,v1_l0,10
129,v1_l0-11,251,v1_l0,11
130,v1_l0-12,251,v1_l0,12
131,v1_l0-13,251,v1_l0,13
132,v1_l0-14,251,v1_l0,14
133,v1_l0-15,251,v1_l0,15
134,v1_l0-16,251,v1_l0,16
135,v1_l0-17,251,v1_l0,17
136,v1_l0-18,251,v1_l0,18
137,v1_l0-19,251,v1_l0,19
138,v1_l0-20,251,v1_l0,20
139,v1_l0-21,251,v1_l0,21
140,v1_l0-22,251,v1_l0,22
141,v1_l0-23,251,v1_l0,23
142,v1_l0-24,251,v1_l0,24
143,v1_l0-25,251,v1_l0,25
144,v1_l0-26,251,v1_l0,26
145,v1_l0-27,251,v1_l0,27
146,v1_l0-28,251,v1_l0,28
147,v1_l0-29,251,v1_l0,29
148,v1_l0-30,251,v1_l0,30
149,v2_l0-01,389,v2_l0,1
150,v2_l0-02,389,v2_l0,2
151,v2_l0-03,389,v2_l0,3
152,v2_l0-04,389,v2_l0,4
153,v2_l0-05,389,v2_l0,5
154,v2_l0-06,389,v2_l0,6
155,v2_l0-07,389,v2_l0,7
156,v2_l0-08,389,v2_l0,8
157,v2_l0-09,389,v2_l0,9
158,v2_l0-10,389,v2_l0,10
159,v2_l0-11,389,v2_l0,11
160,v2_l0-12,389,v2_l0,12
161,v2_l0-13,389,v2_l0,13
162,v2_l0-14,389,v2_l0,14
163,v2_l0-15,389,v2_l0,15
164,v2_l0-16,389,v2_l0,16
165,v2_l0-17,389,v2_l0,17
166,v2_l0-18,389,v2_l0,18
167,v2_l0-19,389,v2_l0,19
168,v2_l0-20,389,v2_l0,20
169,v2_l0-21,389,v2_l0,21
170,v2_l0-22,389,v2_l0,22
171,v2_l0-23,389,v2_l0,23
172,v2_l0-24,389,v2_l0,24
173,v2_l0-25,389,v2_l0,25
174,v2_l0-26,389,v2_l0,26
175,v2_l0-27,389,v2_l0,27
176,v2_l0-28,389,v2_l0,28
177,v2_l0-29,389,v2_l0,29
178,v2_l0-30,389,v2_l0,30
179,v2_l1-01,830,v2_l1,1
180,v2_l1-02,1039,v2_l1,2
181,v2_l1-03,845,v2_l1,3
182,v2_l1-04,817,v2_l1,4
183,v2_l1-05,825,v2_l1,5
184,v2_l1-06,866,v2_l1,6
185,v2_l1-07,926,v2_l1,7
186,v2_l1-08,810,v2_l1,8
187,v2_l1-09,800,v2_l1,9
188,v2_l1-10,848,v2_l1,10
189,v2_l1-11,1314,v2_l1,11
190,v2_l1-12,793,v2_l1,12
191,v2_l1-13,877,v2_l1,13
192,v2_l1-14,864,v2_l1,14
193,v2_l1-15,800,v2_l1,15
194,v2_l1-16,814,v2_l1,16
195,v2_l1-17,929,v2_l1,17
196,v2_l1-18,1006,v2_l1,18
197,v2_l1-19,898,v2_l1,19
198,v2_l1-20,798,v2_l1,20
199,v2_l1-21,924,v2_l1,21
200,v2_l1-22,907,v2_l1,22
201,v2_l1-23,906,v2_l1,23
202,v2_l1-24,906,v2_l1,24
203,v2_l1-25,945,v2_l1,25
204,v2_l1-26,801,v2_l1,26
205,v2_l1-27,833,v2_l1,27
206,v2_l1-28,866,v2_l1,28
207,v2_l1-29,1010,v2_l1,29
208,v2_l1-30,874,v2_l1,30
209,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-01,1230,v2-base,1
210,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-02,1147,v2-base,2
211,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-03,3089,v2-base,3
212,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-04,1519,v2-base,4
213,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-05,2674,v2-base,5
214,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-06,1426,v2-base,6
215,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-07,4609,v2-base,7
216,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-08,1546,v2-base,8
217,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-09,1995,v2-base,9
218,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-10,1619,v2-base,10
219,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-11,1022,v2-base,11
220,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-12,1581,v2-base,12
221,v2_l3_yes_rescaling_no_amsgrad_no_ema_no_swa_wc-13,4229,v2-base,13
