model,explosion_mean,explosion_med,explosion_std,explosion_iqr,explosion_25th
2-layer,1955.5333333333333,1796.0,588.9004794637578,880.5,1507.75
"2-layer, AMSGrad-only",2239.7,1948.0,1141.2816494837182,1273.25,1520.25
"2-layer, EMA-only",1507.1666666666667,1337.0,445.0557565483022,375.75,1206.75
"2-layer, baseline",2036.1333333333334,1802.5,757.1888906289856,1024.25,1408.0
3-layer,3639.266666666667,3663.0,1819.7745395275329,3357.25,1929.75
4-layer,3671.8333333333335,3008.5,1637.7137361606258,3116.5,2351.5
5-layer,4621.833333333333,5745.0,1634.0036315186367,2479.25,3521.75
"5-layer, AMSGrad-only",3617.4666666666667,3432.0,1647.8390809728992,2409.0,2349.75
"5-layer, EMA-only",2272.266666666667,2050.0,1032.3688839962576,1321.75,1448.0
"5-layer, baseline",2965.4,2393.5,1544.1890539965495,1639.25,1801.0
baseline,1653.9,1472.5,383.97156414110344,451.25,1385.0
non_trainable_bessel,2342.366666666667,1841.0,1272.7362454863585,1605.25,1435.5
rescaling,2842.366666666667,2568.0,1257.210280146383,995.25,2064.75
